sample       total_count  b_cell%    cd8_t_cell%  cd4_t_cell%  nk_cell%   monocyte%   
sample01991  109194       8.61       24.6         35.21        14.93      16.64       
sample01992  90333        5.58       29.34        26.13        19.01      19.94       
sample01993  100357       7.93       26.92        31.36        12.08      21.71       
sample01994  98507        11.12      22.27        34.5         13.64      18.47       
sample01995  98526        9.67       22.51        38.83        12.21      16.79       
sample01996  104150       9.45       27.3         30.55        12.92      19.78       
sample01997  103920       15.29      21.22        29.59        20.82      13.09       
sample01998  104151       9.41       23.52        33.42        16.21      17.44       
sample01999  96616        8.65       36.78        25.31        14.93      14.33       
sample02000  107110       12.57      27.41        29.62        11.9       18.5        
sample02001  99673        9.81       26.21        31.51        19.19      13.28       
sample02002  108239       11.12      29.33        21.18        14.93      23.44       
sample02003  100358       6.48       20.17        30.97        15.44      26.95       
sample02004  108743       12.79      30.97        23.14        15.06      18.04       
sample02005  107940       10.42      31.56        22.86        7.73       27.43       
sample02006  108688       12.52      36.6         28.28        12.73      9.87        
sample02007  108524       14.33      22.37        22.46        15.72      25.12       
sample02008  106397       9.9        18.87        33.12        16.61      21.5        
sample02009  104964       8.43       26.27        30.14        19.72      15.44       
sample02010  106400       9.22       22.88        28.98        18.83      20.09       
sample02011  96495        14.07      19.84        31.7         7.84       26.55       
sample02012  104191       9.64       30.25        24.65        10.82      24.65       
sample02013  109641       6.23       23.96        26.06        12.73      31.01       
sample02014  111102       5.51       29.58        32.14        15.28      17.5        
sample02015  98223        9.12       27.05        36.31        10.23      17.29       
sample02016  88207        12.85      29.92        19.93        15.09      22.2        
sample02017  102520       9.09       29.15        34.9         9.47       17.39       
sample02018  93989        11.48      24.24        30.25        11.17      22.85       
sample02019  108685       9.81       28.55        32.74        8.37       20.53       
sample02020  97711        5.92       31.8         22.93        19.57      19.79       
sample02021  106520       11.44      32.43        26.74        12.29      17.1        
sample02022  105851       9.3        28.44        29.27        20.29      12.7        
sample02023  95311        13.49      34.43        21.36        15.37      15.35       
sample02024  98365        8.17       21.94        31.03        13.0       25.86       
sample02025  92676        10.05      24.15        28.8         16.55      20.46       
sample02026  91011        6.98       24.39        39.48        12.58      16.56       
sample02027  108331       12.85      24.09        27.92        11.01      24.13       
sample02028  104550       10.78      12.22        33.45        15.69      27.86       
sample02029  99906        12.45      18.08        24.96        16.44      28.07       
sample02030  96763        6.12       25.05        32.24        16.07      20.53       
sample02031  92981        7.26       29.95        32.6         17.0       13.19       
sample02032  95787        7.43       27.63        29.38        12.42      23.14       
sample02033  104016       6.71       29.64        23.66        26.43      13.56       
sample02034  102077       8.37       28.25        33.32        11.55      18.52       
sample02035  96050        6.05       22.63        27.37        18.6       25.34       
sample02036  102238       15.38      27.09        22.1         22.56      12.86       
sample02037  108493       11.6       28.81        30.26        14.34      14.99       
sample02038  103411       8.32       23.02        34.72        9.78       24.17       
sample02039  106824       7.88       26.85        21.55        21.22      22.49       
sample02040  99240        8.14       22.58        31.08        12.13      26.08       
sample02041  93976        13.36      20.18        24.92        17.14      24.39       
sample02042  101714       9.61       24.36        30.77        13.11      22.15       
sample02043  101679       18.02      17.93        32.61        10.87      20.57       
sample02044  91034        5.96       29.0         31.08        14.73      19.22       
sample02045  106449       7.48       27.13        26.31        14.69      24.39       
sample02046  92197        10.76      28.58        29.18        10.4       21.08       
sample02047  93320        5.74       26.14        25.44        22.83      19.86       
sample02048  106264       7.27       20.11        37.13        9.3        26.19       
sample02049  92674        14.06      22.88        28.09        13.06      21.9        
sample02050  95682        9.08       19.84        34.56        19.24      17.28       
sample02051  93580        10.75      18.02        35.09        15.64      20.5        
sample02052  96364        10.31      25.01        31.34        12.08      21.26       
sample02053  94160        11.15      22.36        23.28        13.31      29.9        
sample02054  88747        12.43      26.41        25.33        14.69      21.14       
sample02055  108273       12.01      30.34        28.07        15.68      13.9        
sample02056  102357       11.44      26.12        26.94        19.0       16.5        
sample02057  100927       10.87      18.11        22.1         17.04      31.88       
sample02058  112126       8.24       24.97        29.75        16.96      20.09       
sample02059  102899       7.41       21.35        34.78        17.5       18.96       
sample02060  105612       5.78       29.82        25.85        17.7       20.85       
sample02061  90973        14.25      23.11        24.96        12.29      25.39       
sample02062  84530        9.17       26.59        25.13        20.61      18.5        
sample02063  102881       9.35       19.87        35.2         15.83      19.75       
sample02064  99458        12.0       14.7         32.96        18.19      22.15       
sample02065  102584       8.12       19.53        36.01        11.71      24.63       
sample02066  102644       11.05      23.39        31.84        12.94      20.77       
sample02067  106049       10.97      24.54        26.89        15.37      22.23       
sample02068  93322        12.07      23.45        24.91        19.45      20.13       
sample02069  108544       15.5       22.78        29.33        13.5       18.89       
sample02070  102641       7.3        19.63        33.93        21.09      18.05       
sample02071  102381       8.92       28.23        34.96        13.0       14.89       
sample02072  100676       10.29      25.65        33.42        12.58      18.06       
sample02073  100811       9.49       33.65        21.44        15.09      20.33       
sample02074  93162        8.98       32.7         22.69        15.88      19.76       
sample02075  105747       6.73       26.21        31.38        11.41      24.28       
sample02076  91803        8.38       33.23        36.4         9.75       12.24       
sample02077  100446       9.26       23.62        34.44        15.7       16.98       
sample02078  108840       14.68      28.92        26.75        13.46      16.18       
sample02079  94104        11.14      30.45        21.7         13.67      23.04       
sample02080  105463       7.02       30.45        31.62        9.27       21.63       
sample02081  110552       10.68      22.96        32.2         14.07      20.09       
sample02082  89086        6.9        27.43        27.95        13.71      24.01       
sample02083  102046       10.35      24.24        31.21        10.36      23.84       
sample02084  92954        13.26      24.11        28.37        19.22      15.04       
sample02085  90232        10.84      26.28        27.99        13.46      21.44       
sample02086  103682       11.56      26.01        30.57        15.27      16.59       
sample02087  96342        9.43       24.69        28.39        14.69      22.81       
sample02088  106511       14.55      16.25        39.17        12.28      17.75       
sample02089  106211       11.08      20.23        35.82        17.64      15.23       
sample02090  97589        9.79       22.56        29.34        16.02      22.28       
sample02091  106737       8.17       25.45        26.21        14.62      25.55       
sample02092  101709       6.74       27.13        40.01        7.31       18.82       
sample02093  103976       11.61      19.52        39.36        10.14      19.36       
sample02094  99446        8.86       23.02        28.64        16.41      23.07       
sample02095  92016        13.22      25.03        35.17        12.34      14.24       
sample02096  100560       6.53       28.99        32.27        16.38      15.83       
sample02097  97765        11.31      20.16        29.94        21.05      17.54       
sample02098  97047        11.24      19.83        23.21        21.55      24.17       
sample02099  106300       10.79      31.57        25.31        13.71      18.61       
sample02100  100640       8.47       24.38        29.48        12.57      25.09       
sample02101  104309       8.04       29.71        35.51        8.29       18.45       
sample02102  97766        10.54      24.33        30.86        13.57      20.7        
sample02103  108857       5.75       24.37        25.6         17.18      27.09       
sample02104  91490        10.79      23.29        31.85        15.43      18.64       
sample02105  102546       9.09       29.73        31.16        13.33      16.68       
sample02106  95608        12.28      24.47        28.78        13.99      20.48       
sample02107  104806       7.21       25.64        31.03        16.42      19.7        
sample02108  104572       5.96       26.31        32.47        13.07      22.19       
sample02109  104432       8.81       23.19        39.42        10.74      17.85       
sample02110  89935        14.5       20.54        23.62        18.39      22.95       
sample02111  109056       8.64       35.72        23.72        11.02      20.9        
sample02112  92302        5.87       29.94        31.38        11.94      20.86       
sample02113  96430        5.61       28.41        24.35        19.07      22.55       
sample02114  95224        7.84       22.0         30.82        14.18      25.16       
sample02115  102404       7.55       14.8         36.75        12.24      28.66       
sample02116  93414        9.11       25.47        34.72        14.62      16.1        
sample02117  100822       6.08       20.77        28.87        20.82      23.46       
sample02118  97917        10.33      23.6         30.41        17.83      17.82       
sample02119  106227       6.78       17.75        39.02        13.32      23.14       
sample02120  94944        8.5        28.01        32.91        14.02      16.55       
sample02121  101229       17.9       26.23        27.88        11.02      16.98       
sample02122  97178        8.49       29.06        30.62        16.67      15.17       
sample02123  91620        11.79      21.29        26.29        19.84      20.78       
sample02124  102091       10.64      26.49        34.08        11.05      17.72       
sample02125  96799        10.92      25.39        27.31        18.61      17.77       
sample02126  106835       9.53       29.07        27.56        11.22      22.62       
sample02127  94891        12.0       38.2         26.31        9.28       14.21       
sample02128  108754       9.58       26.79        31.4         11.27      20.96       
sample02129  103510       10.56      25.41        33.74        20.57      9.71        
sample02130  94030        8.11       32.09        29.92        11.92      17.97       
sample02131  90138        4.34       26.89        40.81        10.96      17.0        
sample02132  96098        15.08      18.86        26.66        11.71      27.69       
sample02133  105238       5.19       27.2         30.0         19.45      18.16       
sample02134  105892       8.53       26.8         36.0         12.34      16.33       
sample02135  104775       14.21      20.19        37.81        7.79       20.0        
sample02136  101304       11.13      28.57        26.59        16.13      17.58       
sample02137  108651       8.88       28.55        28.95        9.88       23.73       
sample02138  104833       10.38      20.9         36.12        17.2       15.4        
sample02139  105717       6.51       37.81        22.91        10.66      22.1        
sample02140  92763        2.93       21.7         30.72        22.91      21.74       
sample02141  93455        15.23      23.6         26.21        16.83      18.12       
sample02142  91268        6.56       25.59        23.95        21.16      22.75       
sample02143  109076       5.3        25.72        36.55        12.32      20.11       
sample02144  105692       18.13      18.69        31.41        15.5       16.25       
sample02145  106254       14.41      22.11        26.6         16.15      20.72       
sample02146  96744        10.59      26.79        23.34        21.66      17.63       
sample02147  104439       9.01       31.31        27.09        8.46       24.13       
sample02148  91053        13.14      25.45        22.68        17.81      20.92       
sample02149  96388        9.34       20.66        36.43        20.03      13.54       
sample02150  101260       10.08      15.64        30.91        15.87      27.5        
sample02151  103677       14.88      27.2         30.83        8.93       18.16       
sample02152  102183       9.99       30.42        25.02        13.49      21.07       
sample02153  92214        7.58       21.54        32.62        11.45      26.81       
sample02154  95419        9.43       20.8         30.98        20.44      18.35       
sample02155  92824        8.23       26.99        30.19        11.01      23.59       
sample02156  103275       12.0       31.01        26.92        10.26      19.82       
sample02157  103534       12.26      15.4         24.01        20.61      27.72       
sample02158  93444        10.02      24.93        33.3         13.2       18.55       
sample02159  105268       12.52      16.44        34.12        13.0       23.92       
sample02160  94539        7.63       26.17        37.64        12.7       15.86       
sample02161  102134       15.39      38.14        24.34        7.62       14.52       
sample02162  106228       15.72      22.39        29.64        13.93      18.32       
sample02163  100178       6.49       31.24        22.78        17.96      21.53       
sample02164  103922       4.44       25.93        25.13        14.71      29.79       
sample02165  97484        8.69       25.82        25.34        18.51      21.65       
sample02166  102109       10.69      25.33        33.95        13.4       16.63       
sample02167  97755        5.59       17.35        38.97        16.33      21.76       
sample02168  95270        7.86       26.73        25.84        14.73      24.83       
sample02169  88926        5.93       30.97        32.32        8.07       22.72       
sample02170  101575       6.02       26.89        28.32        15.83      22.94       
sample02171  95918        6.55       22.73        27.76        14.59      28.36       
sample02172  92642        10.96      29.52        25.08        15.36      19.08       
sample02173  111800       9.67       24.46        34.31        14.87      16.69       
sample02174  99281        5.5        15.89        31.68        20.58      26.35       
sample02175  103895       9.64       25.53        30.64        12.02      22.17       
sample02176  99787        7.49       24.13        32.16        14.64      21.58       
sample02177  90006        5.63       24.24        33.69        19.66      16.78       
sample02178  111328       11.22      22.91        24.68        20.85      20.35       
sample02179  103084       10.57      17.32        37.55        15.0       19.56       
sample02180  107565       7.91       20.83        39.3         12.4       19.56       
sample02181  90256        7.42       27.86        29.98        15.37      19.37       
sample02182  99519        9.22       27.46        33.83        15.82      13.67       
sample02183  105690       10.76      17.92        36.95        17.38      17.0        
sample02184  106102       5.89       16.71        32.02        20.19      25.19       
sample02185  99291        6.94       29.54        26.61        8.88       28.03       
sample02186  100668       5.84       26.44        38.83        14.92      13.97       
sample02187  110043       11.12      32.58        24.76        13.06      18.47       
sample02188  111013       17.99      26.83        23.67        9.35       22.16       
sample02189  108826       12.11      24.06        23.86        19.89      20.07       
sample02190  103232       6.37       22.46        30.33        25.75      15.08       
sample02191  105990       4.97       33.8         33.38        15.19      12.66       
sample02192  108456       10.65      23.93        29.7         13.46      22.26       
sample02193  105207       7.52       17.13        28.03        22.67      24.64       
sample02194  101580       13.7       22.6         33.2         14.22      16.29       
sample02195  108212       5.76       28.77        33.76        11.5       20.21       
sample02196  108000       9.51       33.26        27.71        17.95      11.57       
sample02197  95055        11.35      26.63        29.31        8.49       24.21       
sample02198  94020        6.01       39.58        25.27        10.11      19.03       
sample02199  111219       13.89      22.48        33.36        13.22      17.04       
sample02200  104262       8.98       24.44        31.58        9.74       25.26       
sample02201  110680       8.2        29.43        27.45        15.08      19.85       
sample02202  109138       8.79       27.12        27.38        17.53      19.18       
sample02203  108251       9.26       24.82        25.12        16.72      24.08       
sample02204  94170        6.36       22.83        32.24        23.34      15.24       
sample02205  95117        8.75       21.39        31.79        18.48      19.59       
sample02206  105374       21.09      17.94        25.9         12.5       22.57       
sample02207  98748        16.17      20.51        25.75        13.05      24.53       
sample02208  104094       8.55       21.93        26.32        20.11      23.09       
sample02209  97388        16.42      25.96        33.72        10.34      13.56       
sample02210  94250        9.7        18.6         32.16        12.67      26.87       
sample02211  108301       10.36      27.95        30.32        11.32      20.05       
sample02212  111883       10.64      23.18        31.24        14.56      20.37       
sample02213  102227       9.61       16.29        27.77        26.07      20.27       
sample02214  106559       12.03      26.36        29.83        15.27      16.51       
sample02215  105421       10.89      20.91        34.64        16.0       17.57       
sample02216  98927        8.05       28.68        26.26        13.33      23.68       
sample02217  99664        7.56       25.94        30.91        16.18      19.41       
sample02218  88775        17.72      26.46        18.42        20.49      16.92       
sample02219  101629       11.35      25.33        20.05        20.3       22.97       
sample02220  98587        6.88       23.36        36.0         12.09      21.67       
sample02221  101034       6.68       28.48        30.07        16.3       18.48       
sample02222  91779        6.38       23.46        40.68        8.42       21.06       
sample02223  107954       11.01      25.74        25.44        17.14      20.67       
sample02224  101823       11.74      27.19        30.3         13.2       17.57       
sample02225  93130        7.82       28.42        32.32        11.22      20.22       
sample02226  106065       8.2        23.0         42.66        10.02      16.12       
sample02227  95184        7.94       30.06        35.05        6.48       20.48       
sample02228  103478       6.11       21.45        33.96        20.9       17.59       
sample02229  105453       12.69      23.41        33.6         13.3       17.0        
sample02230  93347        12.49      28.45        27.99        11.62      19.45       
sample02231  100536       10.8       21.86        34.53        13.57      19.23       
sample02232  92718        10.07      23.39        31.4         13.42      21.72       
sample02233  97633        7.25       31.31        31.82        12.41      17.21       
sample02234  94074        7.12       26.14        25.98        17.54      23.21       
sample02235  110676       15.75      23.08        20.55        10.78      29.83       
sample02236  101099       7.1        31.02        20.82        21.71      19.35       
sample02237  106187       12.8       25.83        29.19        11.85      20.34       
sample02238  91562        10.26      24.81        32.87        14.54      17.53       
sample02239  90216        12.97      23.59        31.04        14.75      17.64       
sample02240  97273        7.71       19.02        34.4         21.13      17.74       
sample02241  96749        7.35       23.21        37.84        13.05      18.56       
sample02242  86703        7.22       20.75        35.43        11.78      24.82       
sample02243  97134        8.2        33.74        25.96        9.75       22.34       
sample02244  98219        8.21       19.11        29.24        21.77      21.67       
sample02245  107812       15.35      21.67        29.47        10.11      23.42       
sample02246  95934        3.98       28.21        31.34        15.15      21.33       
sample02247  103148       7.32       36.13        26.04        9.61       20.91       
sample02248  96814        12.69      21.97        30.75        17.72      16.87       
sample02249  89594        6.42       29.74        27.08        22.11      14.65       
sample02250  104250       9.1        23.36        37.35        11.39      18.8        
sample02251  95789        10.36      27.37        26.27        11.7       24.29       
sample02252  99419        7.4        20.8         30.86        21.65      19.3        
sample02253  91785        8.43       36.9         28.18        10.04      16.45       
sample02254  90324        12.77      20.19        30.65        15.83      20.57       
sample02255  104735       13.17      25.59        32.8         14.1       14.35       
sample02256  102725       8.01       23.62        42.59        11.12      14.65       
sample02257  89773        7.2        20.8         28.65        11.77      31.57       
sample02258  95396        10.96      23.4         27.84        15.79      22.0        
sample02259  109344       6.79       21.72        38.0         14.59      18.89       
sample02260  93004        10.93      27.49        26.37        16.16      19.04       
sample02261  91872        11.18      27.26        27.15        20.38      14.02       
sample02262  96318        12.02      20.78        37.81        7.09       22.3        
sample02263  97807        5.89       28.04        32.34        15.69      18.03       
sample02264  105832       4.91       39.35        29.92        11.99      13.82       
sample02265  111651       8.37       27.25        29.46        11.88      23.03       
sample02266  103409       6.49       24.95        31.58        13.48      23.5        
sample02267  97187        10.47      30.71        32.01        7.05       19.76       
sample02268  101438       8.46       25.18        30.83        21.17      14.37       
sample02269  105415       11.44      23.5         34.52        11.94      18.61       
sample02270  92284        9.47       26.78        32.47        12.8       18.49       
sample02271  97605        7.4        23.31        35.93        11.77      21.59       
sample02272  90274        7.53       25.23        32.78        19.54      14.92       
sample02273  97449        8.79       27.61        26.83        21.43      15.34       
sample02274  98870        8.54       23.05        27.15        17.05      24.21       
sample02275  102057       7.7        23.27        33.0         15.78      20.24       
sample02276  92785        8.79       22.62        28.45        19.4       20.73       
sample02277  108407       8.82       30.15        21.82        18.66      20.55       
sample02278  107476       7.69       23.91        36.16        13.75      18.48       
sample02279  107972       15.0       23.94        26.65        19.3       15.1        
sample02280  111889       6.87       21.56        27.69        18.1       25.77       
sample02281  107399       11.06      22.76        36.03        11.06      19.09       
sample02282  105591       6.6        27.18        33.07        14.2       18.94       
sample02283  93697        6.54       27.09        31.33        11.14      23.9        
sample02284  97213        10.27      18.36        28.97        17.07      25.33       
sample02285  94291        10.55      29.49        29.44        14.56      15.96       
sample02286  98841        8.38       22.99        30.53        18.51      19.6        
sample02287  103590       14.25      29.12        16.15        15.74      24.74       
sample02288  91577        10.57      21.76        26.32        21.63      19.73       
sample02289  104180       11.75      20.75        31.0         12.43      24.07       
sample02290  95861        13.07      23.51        33.11        7.02       23.28       
sample02291  91213        4.03       26.07        30.56        19.39      19.94       
sample02292  92737        15.42      20.54        36.9         7.8        19.34       
sample02293  94976        14.25      36.86        23.73        11.02      14.14       
sample02294  90767        11.54      26.4         29.52        10.59      21.95       
sample02295  104336       6.38       17.02        31.68        20.28      24.64       
sample02296  95693        18.62      18.05        22.96        16.81      23.56       
sample02297  94814        9.92       18.54        42.79        13.16      15.59       
sample02298  108292       19.48      21.97        27.27        14.67      16.61       
sample02299  101141       6.66       26.16        37.11        13.67      16.4        
sample02300  110177       12.24      30.11        22.01        14.3       21.34       
sample02301  108235       3.88       17.92        41.26        13.98      22.96       
sample02302  109922       15.14      27.89        23.44        15.35      18.19       
sample02303  109853       9.19       34.16        25.14        12.36      19.15       
sample02304  99078        6.59       33.25        23.96        14.16      22.04       
sample02305  108230       13.1       19.78        32.46        20.63      14.03       
sample02306  104182       6.56       28.95        33.71        16.3       14.48       
sample02307  102920       12.01      23.16        22.77        13.37      28.69       
sample02308  110463       9.92       24.08        30.25        13.62      22.13       
sample02309  92979        11.12      27.97        21.08        19.05      20.79       
sample02310  107703       8.31       30.14        24.5         18.12      18.93       
sample02311  107166       9.3        23.23        27.29        15.04      25.14       
sample02312  103339       9.24       29.27        26.32        16.98      18.2        
sample02313  90443        6.66       25.52        29.01        19.78      19.03       
sample02314  93378        4.36       25.3         27.01        19.53      23.8        
sample02315  89649        14.87      22.79        29.47        13.88      18.99       
sample02316  108967       12.79      18.73        34.25        13.52      20.71       
sample02317  91231        11.62      23.96        30.91        17.84      15.68       
sample02318  101315       13.44      26.33        30.8         14.47      14.96       
sample02319  98720        11.75      29.66        22.68        20.18      15.72       
sample02320  106326       10.9       24.89        34.43        12.39      17.39       
sample02321  105163       11.0       15.93        34.29        14.78      24.02       
sample02322  93391        14.3       21.01        32.85        16.74      15.1        
sample02323  97778        7.18       25.74        26.32        19.65      21.11       
sample02324  112044       12.1       26.15        33.61        11.77      16.37       
sample02325  107981       17.27      26.11        25.62        12.99      18.02       
sample02326  108542       12.49      35.42        26.57        14.94      10.57       
sample02327  111622       15.26      19.76        22.43        19.56      22.99       
sample02328  109231       17.41      23.81        28.53        9.43       20.83       
sample02329  110376       8.06       30.58        24.86        17.68      18.82       
sample02330  95132        8.69       33.69        23.3         11.17      23.16       
sample02331  109386       9.21       24.07        22.4         19.16      25.15       
sample02332  101954       14.04      25.75        27.28        12.55      20.38       
sample02333  106662       11.37      19.82        33.0         16.79      19.03       
sample02334  106361       15.21      27.96        29.92        13.12      13.79       
sample02335  94814        11.41      27.22        29.11        9.81       22.44       
sample02336  105649       13.9       33.07        22.58        12.83      17.62       
sample02337  102005       9.59       30.25        30.42        11.0       18.75       
sample02338  100563       5.81       21.79        29.89        14.31      28.19       
sample02339  107469       10.67      21.72        39.69        11.32      16.61       
sample02340  97746        16.15      28.87        24.79        10.5       19.69       
sample02341  97105        15.2       21.09        31.1         6.11       26.5        
sample02342  110313       11.09      26.99        29.79        12.0       20.13       
sample02343  109890       11.59      26.69        26.15        9.6        25.98       
sample02344  100467       10.2       19.84        26.71        22.0       21.25       
sample02345  107564       9.77       23.1         36.09        17.88      13.17       
sample02346  108425       7.3        27.43        29.13        16.83      19.31       
sample02347  92342        7.75       34.07        27.92        12.65      17.61       
sample02348  94110        12.01      24.51        21.42        19.37      22.68       
sample02349  96471        9.4        29.3         33.97        13.93      13.4        
sample02350  109976       9.81       25.65        33.04        14.31      17.18       
sample02351  103138       12.69      22.96        30.76        16.11      17.47       
sample02352  93744        19.1       18.96        27.46        17.66      16.83       
sample02353  95767        7.14       27.83        24.45        17.4       23.18       
sample02354  92391        8.56       21.68        28.83        19.6       21.33       
sample02355  105730       7.46       27.95        33.77        12.14      18.68       
sample02356  104627       10.96      22.48        23.98        14.44      28.14       
sample02357  92077        8.45       25.29        31.39        11.48      23.39       
sample02358  97316        10.9       19.9         24.76        20.01      24.43       
sample02359  90846        5.55       30.8         23.06        16.57      24.02       
sample02360  95398        8.01       29.02        28.67        16.02      18.27       
sample02361  93664        7.02       28.91        30.88        18.14      15.05       
sample02362  107806       10.69      29.97        29.72        11.62      18.0        
sample02363  102104       7.08       19.22        29.08        19.19      25.43       
sample02364  94421        9.35       24.36        28.38        17.14      20.78       
sample02365  92126        9.31       18.29        37.81        17.4       17.19       
sample02366  90039        7.56       27.0         29.97        15.05      20.42       
sample02367  99545        11.54      25.35        24.65        13.53      24.93       
sample02368  108431       13.18      23.69        30.29        12.48      20.36       
sample02369  104376       9.89       24.23        31.35        17.26      17.27       
sample02370  117633       12.7       25.94        30.34        15.48      15.54       
sample02371  98240        6.5        22.2         29.58        19.32      22.4        
sample02372  98861        14.12      25.18        28.34        17.36      15.01       
sample02373  99792        13.31      28.5         31.84        15.96      10.39       
sample02374  102753       8.78       20.67        37.55        17.26      15.75       
sample02375  91855        6.94       24.15        29.0         20.56      19.36       
sample02376  100176       12.61      21.95        37.32        15.66      12.46       
sample02377  98857        9.57       22.06        33.44        16.66      18.27       
sample02378  104117       7.7        26.14        32.06        18.06      16.04       
sample02379  100854       8.01       34.96        19.81        20.46      16.76       
sample02380  97696        9.34       27.24        31.16        13.63      18.63       
sample02381  100149       7.84       21.2         36.21        20.65      14.1        
sample02382  93320        9.77       20.97        32.0         16.88      20.39       
sample02383  108316       8.61       33.76        28.89        14.56      14.19       
sample02384  91805        9.51       18.91        35.87        17.89      17.82       
sample02385  102226       11.58      21.43        32.17        15.13      19.68       
sample02386  107569       8.18       20.73        26.74        28.07      16.28       
sample02387  113030       9.0        29.06        35.0         12.6       14.34       
sample02388  102063       14.49      31.46        16.46        13.8       23.79       
sample02389  108973       14.72      20.43        26.38        20.4       18.07       
sample02390  89190        9.89       20.95        30.85        19.0       19.31       
sample02391  93777        13.21      23.12        31.41        14.76      17.51       
sample02392  102302       8.88       24.36        32.27        11.64      22.85       
sample02393  104099       8.65       26.87        26.88        11.93      25.67       
sample02394  92610        8.99       19.0         30.01        15.87      26.13       
sample02395  107379       11.59      27.04        21.37        18.68      21.32       
sample02396  95744        8.36       21.63        30.49        22.78      16.73       
sample02397  109675       12.68      15.93        31.4         18.46      21.52       
sample02398  91949        3.96       25.78        32.14        14.6       23.53       
sample02399  97836        9.01       30.81        31.32        12.6       16.27       
sample02400  108910       7.98       20.28        41.88        7.96       21.9        
sample02401  99131        7.9        22.69        29.54        19.88      19.99       
sample02402  108438       9.5        31.41        26.97        12.3       19.82       
sample02403  94641        12.39      26.23        31.0         14.64      15.75       
sample02404  106022       7.92       20.95        31.95        13.67      25.51       
sample02405  102843       9.54       30.09        29.22        13.12      18.01       
sample02406  108087       10.39      20.71        31.35        18.76      18.79       
sample02407  104810       11.04      19.96        36.48        7.48       25.04       
sample02408  99809        13.66      24.46        24.14        15.02      22.72       
sample02409  95466        8.52       22.6         35.42        14.83      18.63       
sample02410  110345       8.83       23.08        35.45        11.33      21.32       
sample02411  97134        5.08       23.15        27.41        19.78      24.58       
sample02412  104992       6.39       18.07        30.96        22.6       21.98       
sample02413  90050        11.21      28.59        16.16        19.31      24.74       
sample02414  106565       11.13      24.05        27.35        22.07      15.39       
sample02415  105509       8.66       25.1         17.02        20.31      28.91       
sample02416  103469       6.45       22.5         31.67        15.6       23.78       
sample02417  111300       6.88       25.06        37.07        9.95       21.04       
sample02418  106230       7.6        27.99        31.39        11.48      21.54       
sample02419  103641       12.52      20.2         33.19        13.75      20.34       
sample02420  106466       12.9       21.21        29.74        17.34      18.82       
sample02421  101518       7.69       26.33        22.39        20.64      22.95       
sample02422  89394        9.19       17.25        25.43        10.19      37.94       
sample02423  100223       5.88       23.02        34.67        8.18       28.25       
sample02424  105308       9.13       25.15        30.12        12.9       22.7        
sample02425  92342        10.86      27.42        27.47        14.97      19.27       
sample02426  107030       6.4        27.83        27.0         16.01      22.76       
sample02427  106672       8.85       23.02        31.61        15.29      21.23       
sample02428  100100       7.11       27.93        31.31        12.48      21.16       
sample02429  97622        8.04       25.5         33.25        15.29      17.92       
sample02430  93030        15.61      25.3         23.33        19.41      16.35       
sample02431  108736       16.34      29.38        21.66        14.37      18.26       
sample02432  92882        9.71       24.94        18.32        21.01      26.02       
sample02433  116511       8.21       35.73        28.53        13.19      14.35       
sample02434  105583       12.42      24.43        37.12        12.42      13.62       
sample02435  99660        8.89       23.9         32.08        17.3       17.82       
sample02436  104153       10.91      23.91        33.51        14.91      16.77       
sample02437  95522        11.77      30.12        25.36        10.98      21.76       
sample02438  102941       13.72      16.22        33.58        12.25      24.24       
sample02439  105872       5.83       24.62        29.29        17.17      23.09       
sample02440  103872       8.9        30.08        25.58        18.57      16.87       
sample02441  107771       6.32       20.89        25.48        12.46      34.85       
sample02442  102385       9.18       21.38        28.27        12.35      28.81       
sample02443  92682        8.93       23.85        34.62        11.5       21.1        
sample02444  99264        7.39       19.59        31.08        18.08      23.84       
sample02445  102964       16.63      21.9         29.07        12.12      20.28       
sample02446  104243       10.08      26.65        33.71        11.49      18.07       
sample02447  91940        9.77       22.27        29.48        18.17      20.31       
sample02448  97083        10.95      25.83        28.4         15.99      18.83       
sample02449  93039        9.1        25.88        30.73        18.65      15.64       
sample02450  93640        8.72       28.56        29.46        12.95      20.31       
sample02451  108273       8.48       22.58        36.82        16.28      15.85       
sample02452  100822       7.59       21.12        30.58        21.22      19.49       
sample02453  106858       4.76       30.02        33.62        14.67      16.93       
sample02454  101990       6.43       23.88        28.28        22.26      19.14       
sample02455  92481        5.71       26.2         37.46        15.85      14.77       
sample02456  103408       12.21      26.99        21.99        10.71      28.1        
sample02457  98311        7.96       24.46        26.18        22.42      18.98       
sample02458  94031        12.58      19.03        30.71        19.21      18.47       
sample02459  90932        7.46       30.81        22.6         18.24      20.89       
sample02460  96303        13.0       31.86        23.17        14.53      17.44       
sample02461  93018        7.32       36.85        28.54        13.16      14.13       
sample02462  94468        13.97      25.62        34.14        11.17      15.09       
sample02463  101865       7.06       29.35        27.76        13.79      22.04       
sample02464  107028       4.92       26.29        32.4         17.67      18.71       
sample02465  112019       7.54       19.93        33.38        16.0       23.15       
sample02466  93892        8.02       27.42        27.53        13.19      23.84       
sample02467  111457       14.35      23.31        24.42        18.39      19.53       
sample02468  103442       6.69       21.39        31.78        12.72      27.42       
sample02469  103226       6.09       22.67        29.48        15.71      26.05       
sample02470  102495       10.55      30.6         28.35        11.56      18.94       
sample02471  108524       4.41       28.06        29.53        14.67      23.33       
